City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Alenquer,BR,77.34,overcast clouds,-1.9417,-54.7383,Josilene Castro
477,Los Algarrobos,PA,80.46,broken clouds,8.5,-82.4333,Waterfall Hostel
483,Muscat,OM,75.22,overcast clouds,23.6139,58.5922,Mutrah Hotel
485,Kalmunai,LK,81.97,overcast clouds,7.4167,81.8167,VS Villa
486,Acarau,BR,81.01,broken clouds,-2.8856,-40.12,castelo pizzaria
487,Sawtell,AU,80.62,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
490,Abidjan,CI,78.76,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
506,Sinjai,ID,87.58,broken clouds,-5.1241,120.253,Wisma Sandika
513,Dicabisagan,PH,76.84,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
520,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
522,Kavaratti,IN,82.15,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
532,Tabou,CI,79.05,light rain,4.423,-7.3528,hotêl doufoulougou
537,Tutoia,BR,80.92,broken clouds,-2.7619,-42.2744,Pousada Guará's
547,Marsh Harbour,BS,77.09,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
548,Kawalu,ID,88.43,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
552,Amahai,ID,85.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
553,Balabac,PH,83.55,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
559,Bandarbeyla,SO,78.67,broken clouds,9.4942,50.8122,JABIR HOTEL
560,Palu,ID,86.79,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
562,Labuhan,ID,88.38,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
567,Bontang,ID,81.7,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
568,Santo Tomas,PH,81.54,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
570,Simoes,BR,78.33,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
572,Kampot,KH,87.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
577,Pandan,PH,81.5,overcast clouds,14.0453,124.1694,Bonifacio Lodge
580,Baculin,PH,85.8,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
594,Celestun,MX,76.82,scattered clouds,20.8667,-90.4,Posada Lilia
602,Kuala Terengganu,MY,75.15,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
604,Ocos,GT,80.01,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
606,San Luis,AR,77.4,clear sky,-33.295,-66.3356,Huarpes Hotel
611,Bajil,YE,76.41,broken clouds,15.0584,43.2851,فندق حضرموت
612,Maragogi,BR,77.27,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
