City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Pizarro,CO,4.9533,-77.366,74.19,92,98,3.38,overcast clouds
136,Quelimane,MZ,-17.8786,36.8883,72.12,85,100,7.29,overcast clouds
137,Nanortalik,GL,60.1432,-45.2371,34.65,89,100,14.52,overcast clouds
138,Xuddur,SO,4.1213,43.8894,75.4,67,80,15.7,broken clouds
139,East London,ZA,-33.0153,27.9116,68.94,68,0,9.22,clear sky
140,Ndioum,SN,16.5129,-14.6471,74.32,39,99,18.23,overcast clouds
141,Port Alfred,ZA,-33.5906,26.891,66.76,74,82,20.11,broken clouds
142,Fortuna,US,40.5982,-124.1573,50.94,85,90,10.0,overcast clouds
143,Hami,CN,42.8,93.45,27.66,44,0,1.92,clear sky
144,Havoysund,NO,70.9963,24.6622,31.08,82,90,23.44,overcast clouds
145,Ilulissat,GL,69.2167,-51.1,37.42,52,58,12.66,broken clouds
146,Palmital,BR,-22.7889,-50.2175,64.96,86,0,10.56,clear sky
147,Japura,ID,-0.3167,102.35,76.57,91,100,2.26,light rain
148,Sweetwater,US,25.7634,-80.3731,78.98,91,75,1.01,broken clouds
149,Sulangan,PH,11.1373,123.7228,82.24,77,87,6.78,overcast clouds
150,Lata,PT,40.1629,-8.3327,50.81,77,29,6.15,scattered clouds
151,Ohara,JP,35.25,140.3833,48.49,51,6,14.76,clear sky
152,North Myrtle Beach,US,33.816,-78.68,67.05,96,75,10.36,broken clouds
153,Port Hardy,CA,50.6996,-127.4199,39.76,90,94,7.11,overcast clouds
154,San Patricio,US,28.017,-97.5169,55.83,61,26,16.26,scattered clouds
155,Saint-Philippe,RE,-21.3585,55.7679,84.11,71,46,1.39,scattered clouds
156,Kahului,US,20.8947,-156.47,75.22,81,40,14.97,light rain
157,Mildura,AU,-34.2,142.15,85.96,21,20,18.41,few clouds
158,Sitka,US,57.0531,-135.33,28.29,80,1,4.61,clear sky
159,Porto Novo,BJ,6.4965,2.6036,72.73,51,22,4.83,few clouds
160,Aljezur,PT,37.3191,-8.8033,54.88,81,100,16.71,overcast clouds
161,Luderitz,NA,-26.6481,15.1594,60.3,81,48,5.55,scattered clouds
162,Hambantota,LK,6.1241,81.1185,83.34,69,93,13.71,overcast clouds
163,Vila Velha,BR,-20.3297,-40.2925,73.94,90,90,3.0,overcast clouds
164,Weston,US,26.1004,-80.3998,79.02,89,75,1.99,broken clouds
165,Taltal,CL,-25.4,-70.4833,64.47,82,100,2.3,overcast clouds
166,Murray Bridge,AU,-35.1167,139.2667,75.83,37,77,21.65,broken clouds
167,Sinnamary,GF,5.3833,-52.95,77.2,88,13,5.82,few clouds
168,Hermanus,ZA,-34.4187,19.2345,65.89,84,32,3.96,scattered clouds
169,Cidreira,BR,-30.1811,-50.2056,70.21,73,91,18.57,overcast clouds
170,Yar-Sale,RU,66.8333,70.8333,-28.44,97,26,7.16,scattered clouds
171,Pirovskoye,RU,57.6267,92.2658,-1.53,95,99,6.17,overcast clouds
172,Atasu,KZ,48.6814,71.6433,25.86,79,100,8.48,overcast clouds
173,Upernavik,GL,72.7868,-56.1549,24.1,69,100,3.76,overcast clouds
174,Srednekolymsk,RU,67.45,153.6833,-41.01,99,95,5.64,overcast clouds
175,Klaksvik,FO,62.2266,-6.589,45.52,77,100,8.66,overcast clouds
176,Sola,VU,-13.8833,167.55,82.06,71,74,1.81,broken clouds
177,Akalkot,IN,17.5333,76.2167,75.38,41,0,10.6,clear sky
178,Yulara,AU,-25.2406,130.9889,105.64,7,5,16.11,clear sky
179,Guerrero Negro,MX,27.9769,-114.0611,59.83,39,0,10.89,clear sky
180,Tera,NE,14.0078,0.7531,64.63,19,2,11.34,clear sky
181,Mezen,RU,65.8522,44.24,-7.01,96,98,7.72,overcast clouds
182,Waspan,NI,14.7419,-83.9717,71.58,97,65,0.54,broken clouds
183,Mar Del Plata,AR,-38.0023,-57.5575,66.87,91,95,18.01,overcast clouds
184,Gorontalo,ID,0.5412,123.0595,85.33,75,63,2.1,broken clouds
185,Kajaani,FI,64.2273,27.7285,24.85,93,90,6.91,light shower snow
186,Novo Aripuana,BR,-5.1206,-60.3797,74.86,98,100,1.99,moderate rain
187,Nola,IT,40.922,14.5329,49.93,54,2,4.16,clear sky
188,Verkhnyaya Inta,RU,65.9811,60.3094,-13.58,82,7,10.25,clear sky
189,Naron,ES,43.5167,-8.1528,48.67,70,43,5.84,scattered clouds
190,Fairbanks,US,64.8378,-147.7164,13.96,83,90,3.44,overcast clouds
191,Dodge City,US,37.7528,-100.0171,21.25,59,1,5.01,clear sky
192,Nishihara,JP,26.1842,127.7558,65.86,52,40,12.66,scattered clouds
193,Nome,US,64.5011,-165.4064,19.47,86,90,23.02,light snow
194,Sibu,MY,2.3,111.8167,79.86,85,100,0.72,overcast clouds
195,Alofi,NU,-19.0595,-169.9187,80.82,78,21,18.95,few clouds
196,Ambulu,ID,-8.345,113.6058,88.05,65,99,1.07,overcast clouds
197,Camacha,PT,33.0833,-16.3333,63.82,82,40,20.71,scattered clouds
198,Bengkulu,ID,-3.8004,102.2655,83.71,65,100,10.85,overcast clouds
199,Auki,SB,-8.7676,160.7034,80.91,83,92,5.68,overcast clouds
200,Mahebourg,MU,-20.4081,57.7,83.25,63,0,2.53,clear sky
201,Butaritari,KI,3.0707,172.7902,82.24,80,53,16.28,light rain
202,Ghanzi,BW,-21.5667,21.7833,62.64,81,98,8.7,overcast clouds
203,College,US,64.8569,-147.8028,13.95,83,90,3.44,overcast clouds
204,Brufut,GM,13.3814,-16.7518,71.69,73,95,10.36,overcast clouds
205,Vagamo,NO,61.8751,9.0967,28.24,82,15,12.75,few clouds
206,Namatanai,PG,-3.6667,152.4333,81.23,78,100,13.44,overcast clouds
207,Katsuura,JP,35.1333,140.3,46.51,52,6,17.65,clear sky
208,Karasuk,RU,53.7377,78.0403,19.31,96,100,9.4,overcast clouds
209,Leshukonskoye,RU,64.8989,45.7622,-3.78,97,100,6.51,overcast clouds
210,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.27,85,68,9.46,broken clouds
211,Kangaatsiaq,GL,68.3065,-53.4641,19.74,76,100,6.8,overcast clouds
212,Umm Kaddadah,SD,13.6017,26.6876,56.95,33,46,14.18,scattered clouds
213,Caravelas,BR,-17.7125,-39.2481,74.08,95,100,2.8,overcast clouds
214,Krzeszowice,PL,50.1425,19.6322,39.85,93,90,18.41,light intensity drizzle
215,Wahiawa,US,21.5028,-158.0236,73.72,82,75,4.61,moderate rain
216,Korla,CN,41.7597,86.1469,26.71,49,21,5.26,few clouds
217,Pakokku,MM,21.3333,95.1,77.52,47,11,8.21,few clouds
218,Akersberga,SE,59.4794,18.2997,40.26,70,26,17.36,scattered clouds
219,Albertville,US,34.2676,-86.2089,60.15,78,90,1.99,overcast clouds
220,Honiara,SB,-9.4333,159.95,79.81,89,99,1.48,overcast clouds
221,Namibe,AO,-15.1961,12.1522,69.12,70,100,6.8,overcast clouds
222,Sikonge,TZ,-5.6333,32.7667,66.16,89,99,4.45,overcast clouds
223,Lufilufi,WS,-13.8745,-171.5986,85.78,78,13,19.86,few clouds
224,Yellowknife,CA,62.456,-114.3525,-10.53,96,100,4.76,overcast clouds
225,Castanos,MX,26.7833,-101.4167,56.34,54,67,10.96,broken clouds
226,Rorvik,NO,64.8621,11.2373,41.79,69,100,35.99,overcast clouds
227,Chihuahua,MX,28.5,-106.0,44.44,76,100,14.14,overcast clouds
