City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Samarai,PG,2021-12-18 06:00:50,-10.6167,150.6667,83.08,73,100,7.74
223,Vila Franca Do Campo,PT,2021-12-18 06:00:50,37.7167,-25.4333,58.19,84,100,6.15
224,Sao Gabriel Da Cachoeira,BR,2021-12-18 06:00:40,-0.1303,-67.0892,74.3,97,100,1.45
225,Port Elizabeth,ZA,2021-12-18 06:00:51,-33.918,25.5701,67.1,63,0,18.34
226,Asosa,ET,2021-12-18 06:00:51,10.0667,34.5333,70.9,43,67,5.5
227,Saint Anthony,US,2021-12-18 06:00:18,45.0205,-93.218,19.65,80,90,1.99
228,Swan Hill,AU,2021-12-18 06:01:52,-35.3378,143.5544,101.44,15,7,16.67
229,Los Chiles,CR,2021-12-18 06:01:52,11.0333,-84.7167,71.65,98,26,2.98
230,Sterling,US,2021-12-18 05:59:49,39.0062,-77.4286,54.9,51,90,1.99
231,Aklavik,CA,2021-12-18 06:01:52,68.2191,-135.0107,-12.28,98,100,2.98
232,Bitung,ID,2021-12-18 06:01:53,1.4451,125.1824,86.85,73,67,8.48
233,Te Anau,NZ,2021-12-18 06:00:36,-45.4167,167.7167,57.78,57,97,6.71
234,Marawi,PH,2021-12-18 06:01:53,7.9986,124.2928,76.64,63,30,5.95
235,Sisimiut,GL,2021-12-18 06:01:53,66.9395,-53.6735,15.53,65,100,9.48
236,Hithadhoo,MV,2021-12-18 06:01:54,-0.6,73.0833,82.81,73,75,6.17
237,Souillac,MU,2021-12-18 06:01:54,-20.5167,57.5167,84.58,65,20,12.66
238,Khani,GE,2021-12-18 06:01:54,41.9563,42.9566,36.97,70,100,0.83
239,Hualmay,PE,2021-12-18 06:01:55,-11.0964,-77.6139,66.69,89,32,8.3
240,Nanortalik,GL,2021-12-18 06:01:55,60.1432,-45.2371,28.13,60,67,12.46
241,Kanniyakumari,IN,2021-12-18 06:01:55,8.0833,77.5667,82.81,59,38,18.37
242,Upernavik,GL,2021-12-18 06:01:56,72.7868,-56.1549,13.57,65,100,7.14
243,Chabahar,IR,2021-12-18 06:01:56,25.2919,60.643,70.54,47,96,4.52
244,Pilar,BR,2021-12-18 06:01:56,-9.5972,-35.9567,73.72,88,17,5.53
245,Tuatapere,NZ,2021-12-18 06:01:56,-46.1333,167.6833,57.81,54,92,7.43
246,Pangnirtung,CA,2021-12-18 06:01:57,66.1451,-65.7125,25.61,76,100,16.58
247,Leningradskiy,RU,2021-12-18 06:01:57,69.3833,178.4167,-21.35,97,96,4.52
248,Lewistown,US,2021-12-18 06:01:57,40.5992,-77.5714,43.66,82,90,0.0
249,Asau,RO,2021-12-18 06:01:58,46.4333,26.4,33.76,95,99,6.93
250,Deniliquin,AU,2021-12-18 06:01:58,-35.5333,144.9667,100.99,13,37,21.07
251,Fairbanks,US,2021-12-18 06:00:31,64.8378,-147.7164,10.92,83,100,2.62
252,Thompson,CA,2021-12-18 06:01:58,55.7435,-97.8558,-9.2,97,100,4.54
253,Acari,PE,2021-12-18 06:01:59,-15.4311,-74.6158,68.72,81,84,4.38
254,Hervey Bay,AU,2021-12-18 06:01:59,-25.2986,152.8535,85.03,57,10,5.01
255,Chekhov,RU,2021-12-18 06:01:59,55.1431,37.4711,31.08,95,100,6.31
256,Yumen,CN,2021-12-18 06:02:00,40.2833,97.2,30.79,28,0,25.93
